Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Years,Item_Visibility_MeanRatio,Identifier,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Combine_Drinks,Item_Combine_Food,Item_Combine_Non-Consumable,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
FDZ10,124.902,1897.53,13,0.04442649,17.85,1987,OUT013,35,0.673610573355016,1223,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDP59,104.0648,1869.5664,1,0.056695731,20.85,2009,OUT018,13,0.8596412605562976,773,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCR30,74.8696,223.7088,9,0.070933894,20.6,1987,OUT013,35,1.0755254580689118,1471,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
FDT25,121.7072,3552.7088,3,0.051038045,7.5,2007,OUT017,15,0.7738573710272656,937,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDS12,124.6362,2390.8878,0,0.174085625,9.1,2004,OUT035,18,2.6395494595480375,877,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDB03,240.2538,2181.2889135750365,4,0.157718931,17.75,2007,OUT017,15,2.3913917021094893,192,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDO08,165.6526,2181.2889135750365,6,0.053514971,12.792854228644991,1985,OUT027,37,0.8114134224510433,694,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDK26,186.924,2181.2889135750365,3,0.053858378,5.46,1998,OUT010,24,0.8166202840816633,557,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCI54,107.3912,3057.3536,9,0.033436336,12.792854228644991,1985,OUT027,37,0.5069738677048526,1350,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
FDR59,263.6594,3401.5722,1,0.063554289,12.792854228644991,1985,OUT027,37,0.9636332074053202,866,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDA23,101.3016,2181.2889135750365,0,0.047379258,9.8,2009,OUT018,13,0.7183815139686981,162,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDX22,211.0928,4418.2488,13,0.022970468,6.785,2004,OUT035,18,0.34828657676339153,1134,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDA25,101.199,1031.99,3,0.068125756,16.5,1997,OUT046,25,1.032947450032715,163,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
DRH01,172.9738,4344.345,14,0.098102581,17.5,2002,OUT045,20,1.4874669557513296,64,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
DRL47,127.3362,755.0172,7,0.038729457,19.7,2004,OUT035,18,0.5872300903244536,118,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
FDW24,49.7034,2181.2889135750365,0,0.037709148,6.8,2007,OUT017,15,0.5717597947758004,1086,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDP32,126.7678,2181.2889135750365,6,0.087847281,6.65,2002,OUT045,20,1.3319723732865054,755,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDE33,77.0644,2278.3676,6,0.049594299,19.35,1987,OUT013,35,0.7519667699278088,337,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDL24,173.6422,2181.2889135750365,0,0.025037414,10.3,2007,OUT017,15,0.3796263625568192,594,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDZ40,52.9298,539.298,5,0.040410039,8.935,2007,OUT017,15,0.6127116848548818,1247,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDW55,250.8092,2181.2889135750365,6,0.0,12.6,2009,OUT018,13,0.0,1111,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCY53,112.6544,2181.2889135750365,8,0.058572263,20.0,1999,OUT049,23,0.888093920139331,1547,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FDN40,155.3998,2153.1972,5,0.08644044,5.88,2004,OUT035,18,1.310641339197849,678,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRB01,190.253,2181.2889135750365,14,0.082574393,7.39,2009,OUT018,13,1.252022930759833,3,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
FDV45,189.1556,2181.2889135750365,13,0.045302246,16.75,2007,OUT017,15,0.6868891038281434,1053,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDT01,212.7902,2181.2889135750365,3,0.0,13.65,2009,OUT018,13,0.0,917,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDT59,230.2668,2994.7684,1,0.015976249,13.65,2009,OUT018,13,0.24223768857167202,965,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDR22,112.9544,2908.2144,13,0.018667601,19.35,2007,OUT017,15,0.28304494486898846,837,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
DRH01,175.7738,2181.2889135750365,14,0.098056243,17.5,1999,OUT049,23,1.4867643621692546,64,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDZ47,98.7042,1884.8798,0,0.0,20.7,2007,OUT017,15,0.0,1252,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCZ30,119.1098,964.0784,9,0.0,6.59,2007,OUT017,15,0.0,1554,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FDY50,88.6172,2181.2889135750365,4,0.130846833,5.8,1987,OUT013,35,1.9839471945413203,1207,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDN23,143.5444,3338.3212,1,0.07549348,6.575,2004,OUT035,18,1.1446595566601239,667,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDZ52,112.7886,1779.0176,5,0.099991245,19.2,1987,OUT013,35,1.516103565123688,1257,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDY46,188.7898,2181.2889135750365,13,0.047880884,18.6,2004,OUT035,18,0.7259873495291888,1203,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDH32,94.741,2181.2889135750365,6,0.127308909,12.8,1998,OUT010,24,1.9303039061760572,450,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDN04,180.3344,1427.4752,5,0.014087057,11.8,1997,OUT046,25,0.21359307347158848,656,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCD54,143.3786,866.8716,9,0.029008944,21.1,1997,OUT046,25,0.4398441425434138,1302,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
DRK47,226.6694,2181.2889135750365,7,0.107230638,7.905,1998,OUT010,24,1.625869870530041,110,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
FDF44,130.9968,2181.2889135750365,6,0.060065869,7.17,2007,OUT017,15,0.910740516663758,383,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDS07,113.4518,2181.2889135750365,6,0.09991293,12.35,1999,OUT049,23,1.5149161246562484,872,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDA50,95.441,193.082,4,0.145913308,16.25,1998,OUT010,24,2.21239055937138,184,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDA15,250.2092,5976.2208,4,0.016054884,9.3,2002,OUT045,20,0.24342998099530866,156,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDY01,116.7834,2303.668,3,0.170141787,11.8,1987,OUT013,35,2.5797515557208546,1167,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
NCA05,149.4734,2969.468,8,0.0,20.75,1987,OUT013,35,0.0,1264,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
NCY54,171.1422,2586.633,9,0.177694846,8.43,1997,OUT046,25,2.694273778916391,1548,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
NCZ17,39.8506,1480.0734,8,0.079046992,12.792854228644991,1985,OUT027,37,1.198539195941641,1551,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
DRH36,73.3696,2181.2889135750365,14,0.033431957,16.2,1999,OUT049,23,0.5069074717167671,71,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDJ04,117.2124,2133.2232,5,0.124645538,18.0,1999,OUT049,23,1.8899209079610932,509,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDR24,91.283,2181.2889135750365,0,0.063107714,17.35,2009,OUT018,13,0.9568620750967354,839,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCO53,182.1608,2181.2889135750365,8,0.175151361,16.2,2004,OUT035,18,2.6557085357659673,1434,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDA45,174.537,2181.2889135750365,13,0.0,21.25,2007,OUT017,15,0.0,179,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDU11,122.3098,2181.2889135750365,1,0.092737611,4.785,1999,OUT049,23,1.4061213325041981,975,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDJ46,173.6054,2181.2889135750365,13,0.045076978,11.1,2007,OUT017,15,0.6834735086136996,533,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDJ22,190.3504,1917.504,13,0.052554508,12.792854228644991,1985,OUT027,37,0.7968505336854379,520,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDL12,60.622,2576.646,0,0.121632721,15.85,1997,OUT046,25,1.8442394826046506,586,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDG35,175.5738,2181.2889135750365,15,0.00703512,21.2,1987,OUT013,35,0.10666904400553227,415,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDY32,161.821,2181.2889135750365,6,0.129767515,7.605,2009,OUT018,13,1.9675821831075475,1191,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCO18,178.2686,2181.2889135750365,9,0.024751688,13.15,2009,OUT018,13,0.37529408119310054,1427,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
NCI18,222.5746,2181.2889135750365,9,0.014012358,18.35,1987,OUT013,35,0.21246046010917685,1344,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
FDG53,141.818,2181.2889135750365,5,0.045856934,10.0,1997,OUT046,25,0.6952994847003021,425,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDK26,187.524,2181.2889135750365,3,0.0,12.792854228644991,1985,OUT027,37,0.0,557,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDN50,93.712,745.696,3,0.026627857,16.85,2009,OUT018,13,0.4037412368383227,684,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDH35,162.5526,986.7156,15,0.060589424,18.25,2007,OUT017,15,0.9186788476850223,453,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCX06,182.6976,3440.8544,9,0.015687045,17.6,1997,OUT046,25,0.2378526725090354,1530,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDD36,119.1124,2181.2889135750365,0,0.021255857,13.3,1987,OUT013,35,0.3222890221784847,300,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDM08,224.2088,2181.2889135750365,6,0.053802487,10.1,2009,OUT018,13,0.81577284444474,621,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDV09,150.4734,2078.6276,13,0.020568574,12.1,1997,OUT046,25,0.3118681877689431,1023,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
DRF37,261.591,3418.883,14,0.084262458,17.25,1987,OUT013,35,1.277617985253459,45,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
DRI47,143.8128,3020.0688,7,0.020920179,14.7,1997,OUT046,25,0.3171993504523892,85,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
FDX49,234.33,3961.51,3,0.102407778,4.615,2007,OUT017,15,1.5527439159517935,1157,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDN60,157.3604,4436.8912,0,0.095545715,15.1,2009,OUT018,13,1.4486988250200488,690,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDP46,89.383,2181.2889135750365,13,0.0,15.35,2002,OUT045,20,0.0,765,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDE09,111.5228,1768.3648,6,0.021498768,12.792854228644991,1985,OUT027,37,0.3259721269653864,322,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDB05,249.4776,2181.2889135750365,5,0.083668945,5.155,2007,OUT017,15,1.2686189256333167,194,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDZ44,117.4808,2181.2889135750365,6,0.03854151,12.792854228644991,1985,OUT027,37,0.5843803696638667,1249,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDP07,197.211,3142.576,6,0.090084098,18.2,2002,OUT045,20,1.3658878048648329,735,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDX38,45.9376,575.2512,4,0.048207017,10.5,1997,OUT046,25,0.7309322964993408,1148,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDE21,116.4492,2181.2889135750365,6,0.022925594,12.8,1987,OUT013,35,0.34760618088091844,329,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDG50,89.7146,182.4292,3,0.02556185,7.405,1998,OUT010,24,0.38757805161998876,423,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDU16,81.9908,2181.2889135750365,5,0.058264085,19.25,2004,OUT035,18,0.883421213398929,980,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRZ11,123.3388,2972.1312,14,0.112893431,8.85,2002,OUT045,20,1.711731194247507,143,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
FDX16,148.705,2181.2889135750365,5,0.065491357,12.792854228644991,1985,OUT027,37,0.9930037358019514,1130,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
DRI25,56.1614,828.921,14,0.03387323,19.6,1987,OUT013,35,0.5135982131761101,82,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
DRH03,94.712,2181.2889135750365,4,0.03513543,17.25,2002,OUT045,20,0.5327361479012865,65,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
FDU27,48.8376,1294.3152,10,0.17174348,18.6,1999,OUT049,23,2.6040370065874145,989,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDH10,192.6478,387.4956,13,0.086326707,12.792854228644991,1985,OUT019,37,1.3089168781535627,436,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDB50,76.7986,2648.5524,3,0.153930108,13.0,2002,OUT045,20,2.333944192000753,227,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDN08,115.9466,4124.631,6,0.087936752,12.792854228644991,1985,OUT027,37,1.3333289650768685,657,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDV55,143.7444,2181.2889135750365,6,0.055297776,17.75,2009,OUT018,13,0.8384449592262914,1061,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCC54,241.9196,2181.2889135750365,8,0.097710924,17.75,1997,OUT046,25,1.4815285101003566,1292,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDL52,37.9506,910.8144,5,0.04586701,12.792854228644991,1985,OUT027,37,0.6954522606710603,613,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDU39,58.1562,1185.124,10,0.036111038,18.85,2002,OUT045,20,0.5475286706562856,999,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDF46,115.8834,1036.6506,13,0.094201018,7.07,2007,OUT017,15,1.4283100408248812,385,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDR19,144.2102,2181.2889135750365,6,0.159690469,13.5,2004,OUT035,18,2.421284877162733,834,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NCX42,163.6526,5262.4832,9,0.00599072,6.36,2002,OUT045,20,0.09083347196704851,1536,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
DRK59,234.8616,2181.2889135750365,7,0.075567131,8.895,1999,OUT049,23,1.1457762798659898,112,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDQ15,81.0276,1868.2348,10,0.150947728,20.35,1987,OUT013,35,2.288724263490476,786,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDS36,107.957,2966.139,0,0.04688734,8.38,1997,OUT046,25,0.7109228746293388,897,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDM15,151.4366,1360.2294,10,0.057373797,11.8,1987,OUT013,35,0.8699223434649979,627,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDZ26,238.3222,5736.5328,4,0.144017405,11.6,1997,OUT046,25,2.183644189652424,1235,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDW40,143.2812,3277.0676,5,0.105125569,14.0,2004,OUT035,18,1.5939520499675373,1100,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NCL17,143.7812,2181.2889135750365,8,0.113449342,7.39,1998,OUT010,24,1.7201601186897566,1378,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
FDU60,167.3132,2181.2889135750365,0,0.059851197,20.0,1987,OUT013,35,0.9074855818488926,1016,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDR09,259.7962,8028.8822,13,0.077348214,12.792854228644991,1985,OUT027,37,1.172781707051952,826,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCD07,114.4518,1593.9252,9,0.0,9.1,1997,OUT046,25,0.0,1295,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
NCW30,258.4962,2181.2889135750365,9,0.011009897,5.21,1997,OUT046,25,0.16693605618516497,1524,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDE47,123.1046,2181.2889135750365,15,0.037985629,14.15,2002,OUT045,20,0.5759519000925106,348,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDO48,222.6456,2181.2889135750365,0,0.026882496,15.0,1999,OUT049,23,0.4076021658198503,723,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDI36,197.1426,2181.2889135750365,0,0.062291551,12.5,1987,OUT013,35,0.9444871153287874,492,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDK40,264.691,5785.802,5,0.021938404,7.035,2009,OUT018,13,0.33263804763630833,565,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDU07,149.6366,2181.2889135750365,6,0.060185494,11.1,2007,OUT017,15,0.9125543143515248,971,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
DRH39,75.967,153.134,4,0.0,12.792854228644991,1985,OUT019,37,0.0,73,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
FDQ34,107.8622,1058.622,13,0.162242617,10.85,1997,OUT046,25,2.4599814718648325,801,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDZ50,181.7608,4961.5416,4,0.079523619,12.8,2007,OUT017,15,1.2057659875865918,1255,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDI05,74.4354,1128.531,5,0.126869718,8.35,1997,OUT046,25,1.9236447327567219,471,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCP42,194.8478,2181.2889135750365,9,0.016032699,12.792854228644991,1985,OUT027,37,0.2430936039695774,1446,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
NCU29,144.676,2181.2889135750365,8,0.025581232,7.685,2009,OUT018,13,0.3878719285419055,1503,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FDN10,118.9124,2844.2976,13,0.045900448,12.792854228644991,1985,OUT027,37,0.6959592597689374,659,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDN27,116.9808,3866.9664,10,0.039370913,12.792854228644991,1985,OUT027,37,0.5969560791194725,670,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDA09,178.366,2181.2889135750365,13,0.250008736,13.35,1998,OUT010,24,3.7907232374361066,151,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDA46,195.4136,5443.5808,13,0.117537563,13.6,1987,OUT013,35,1.7821472099907354,180,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
DRH13,107.628,213.056,14,0.041821227,12.792854228644991,1985,OUT019,37,0.6341086297360038,67,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
NCN14,185.6608,2181.2889135750365,11,0.092104198,19.1,2002,OUT045,20,1.3965172945957223,1408,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDH45,41.6796,784.3124,6,0.105831117,15.1,1999,OUT049,23,1.6046498249393948,458,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDS24,87.5514,2181.2889135750365,0,0.061923154,12.792854228644991,1985,OUT027,37,0.9389013462438952,887,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDN38,249.7408,2181.2889135750365,3,0.153942031,6.615,1998,OUT010,24,2.3341249728561864,676,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDR21,178.037,2181.2889135750365,13,0.117195348,12.792854228644991,1985,OUT019,37,1.7769584218969499,836,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
NCI30,244.746,2181.2889135750365,9,0.098645981,20.25,1998,OUT010,24,1.4957061838686334,1346,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
FDF10,148.6418,3972.8286,13,0.156797787,15.5,1987,OUT013,35,2.377424982299247,362,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
NCG42,131.731,2181.2889135750365,9,0.041193522,19.2,1987,OUT013,35,0.6245911385961949,1329,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
FDC46,185.4266,184.4266,13,0.195068226,17.7,1998,OUT010,24,2.957695275030862,266,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDP25,219.3824,2181.2889135750365,3,0.02118987,15.2,1987,OUT013,35,0.32128850332354075,750,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDF08,88.2856,175.7712,6,0.109144085,14.3,1998,OUT010,24,1.6548822487475061,360,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCS18,108.0938,2181.2889135750365,9,0.04200671,12.792854228644991,1985,OUT027,37,0.6369209903338725,1481,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
NCA17,148.4392,1789.6704,8,0.045380404,20.6,1987,OUT013,35,0.6880741638045738,1266,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
